,REF,KNOX,ATP
GLCptspp,9.2,11.7,15.6
PGI,5.071576553600839,5.571366492018493,13.319806191773413
PFK,5.9742745190302475,6.698742446082032,7.581081924244382
FBA,5.974274519030248,6.698742446082031,7.581081924244382
TPI,6.965103405376589,8.694230094447045,13.741863565682634
PGK,-14.985371180198836,-19.071438129224127,-27.83336573714585
GAPD,14.985371180198834,19.071438129224127,27.83336573714585
ENO,13.524071183743189,17.432934193468217,26.023654812031744
PGM,-13.524071183743189,-17.432934193468217,-26.02365481202945
PYK,0.0,0.0,0.0
PDH,7.890010698985297,11.115661695724592,18.70113275484067
G6PDH2r,4.128423446399157,6.128633507981505,2.280193808226575
PGL,4.128423446399157,6.1286335079815055,2.2801938082265747
GND,4.128423446399157,6.128633507981505,2.2801938082265747
RPE,2.094452922009926,3.348154889414904,0.6789771512756729
RPI,-2.0000575704841332,-2.7424532243413307,-1.5578529035216828
TKT1,1.2057366234460418,1.8518092763963223,0.5421720581606323
TALA,1.2057366234460418,1.8518092763963223,0.5421720581606323
TKT2,0.8887162985638843,1.496345613018582,0.13680509311504055
CS,5.098320571665698,2.7174093039425617,1.1718380892201432
ACONTb,5.098320571665698,2.7174093039425617,1.1718380892201432
ACONTa,5.098320571665698,2.7174093039425613,1.1718380892201432
ICDHyr,5.098320571665698,2.7174093039425617,1.1718380892201434
SUCOAS,-3.734524152837367,-1.1882326768024427,0.5720186033940886
AKGDH,4.181875661775043,1.6898320813316516,0.0
SUCDi,4.182445820755807,1.690471380405231,0.0007290498352470732
FUM,5.068830824203374,2.6843434944588984,1.1341301932571366
MDH,5.069400983184137,2.684982793532499,1.1341301932571366
PPC,2.522331343304199,2.828200809764129,3.2259790455718487
ACKr,0.49516219453033383,-4.712821283411573,-13.44484036823499
PTAr,-0.4951621945303339,4.712821283411574,13.44484036823499
EX_ac_e_,4.796191761039212e-13,5.268029116535556,14.077993451012512
Ec_biomass_iAF1260_core_59p81M,0.8522555766259218,0.9556039964130683,1.0897605908026595
